70, 19
-72, 15
-12, 2
48, 93
-5, 43
74, 91
-47, 56
-44, 51
-87, 27
84, 79
42, 18
-65, 10
-86, 85
-92, 4
49, 30
81, 7
-50, 21
-26, 30
-31, 92
10, 50
-88, 20
-42, 4
-40, 50
99, 59
89, 7
19, 9
-71, 44
70, 67
-70, 9
-60, 55
48, 73
-68, 88
65, 23
43, 38
62, 22
30, 21
72, 3
74, 77
73, 23
-11, 95
21, 12
-27, 70
6, 77
44, 43
-31, 91
70, 60
-92, 35
-72, 61
21, 68
-44, 24
65, 17
-24, 67
15, 80
23, 62
79, 60
24, 34
-63, 76
77, 41
99, 52
0, 87
-69, 11
95, 80
37, 62
-80, 14
38, 32
-30, 9
-14, 20
9, 93
17, 36
38, 87
17, 19
-24, 61
-12, 35
-76, 28
72, 92
30, 45
30, 27
66, 13
-55, 12
46, 71
61, 76
-60, 8
-48, 23
37, 14
5, 73
53, 89
-73, 4
-13, 15
0, 92
46, 69
37, 97
62, 55
-52, 54
-69, 11
-68, 62
33, 21
44, 88
-38, 94
58, 23
-23, 84
-36, 73
66, 42
0, 36
-58, 76
45, 23
-11, 59
-73, 33
88, 54
-97, 12
31, 33
22, 8
10, 39
-26, 7
-99, 1
-61, 66
-76, 0
-37, 49
45, 15
-64, 77
71, 29
39, 78
97, 21
-31, 79
97, 33
8, 34
76, 42
71, 7
-28, 94
10, 18
78, 65
-45, 11
58, 93
-23, 60
34, 9
-40, 50
47, 72
-97, 3
-14, 69
39, 65
25, 90
-5, 82
-100, 93
51, 69
-30, 55
80, 6
13, 0
-48, 72
-97, 77
-73, 99
100, 57
-22, 17
-97, 46
-92, 53
-96, 40
32, 7
-5, 28
-59, 96
89, 80
-83, 87
-22, 3
86, 71
1, 70
-78, 100
28, 92
-21, 73
-71, 36
9, 50
-32, 34
32, 0
-15, 33
18, 45
72, 97
97, 32
71, 31
-65, 80
-9, 97
68, 63
26, 60
-50, 44
-77, 100
93, 18
-10, 12
75, 43
-23, 56
95, 46
87, 11
-22, 35
-15, 30
81, 31
-44, 81
53, 5
15, 81
-97, 72
-3, 74
-11, 70
12, 15
-10, 46
-31, 72
-85, 86
-64, 97
49, 75
-43, 55
-81, 22
-56, 52
63, 89
57, 4
-18, 76
-100, 36
45, 47
-69, 44
-9, 9
-93, 3
-12, 24
-15, 46
18, 72
-55, 96
43, 42
-31, 95
51, 6
65, 4
23, 70
-62, 18
-27, 33
31, 6
66, 42
-23, 89
73, 87
-6, 13
-80, 0
-84, 93
-75, 40
10, 84
-66, 51
36, 13
55, 64
84, 24
66, 22
52, 75
23, 15
43, 39
42, 55
2, 49
-2, 35
7, 86
-26, 11
19, 97
13, 4
33, 86
-44, 53
-95, 99
-27, 4
41, 5
97, 1
-19, 75
42, 75
92, 88
-10, 49
-48, 7
-25, 73
-67, 8
-11, 38
-40, 98
75, 76
37, 86
-63, 12
10, 78
95, 15
67, 15
-39, 81
-27, 78
-39, 87
43, 52
-28, 69
-74, 32
-20, 98
75, 66
66, 79
56, 87
20, 11
-69, 73
59, 29
-78, 57
-62, 74
-44, 34
-5, 70
-84, 45
18, 56
-15, 34
-41, 93
-75, 70
100, 48
79, 82
10, 62
30, 29
57, 49
14, 25
-47, 54
-87, 47
87, 56
-45, 63
77, 52
71, 97
-86, 40
-37, 87
-56, 13
68, 38
-16, 78
24, 43
-91, 87
2, 81
-40, 54
77, 95
0, 48
10, 63
-41, 54
33, 43
-48, 28
-92, 30
92, 51
21, 12
-94, 13
-86, 9
9, 38
58, 26
-18, 67
15, 64
-100, 74
59, 51
-63, 24
54, 3
69, 14
-28, 78
30, 63
-79, 35
-49, 31
33, 17
-26, 69
86, 89
38, 42
-67, 20
54, 64
36, 49
-23, 39
-38, 0
32, 37
11, 44
32, 53
87, 34
-35, 16
-72, 5
0, 79
68, 55
-85, 87
-66, 57
-62, 37
-55, 2
-6, 38
48, 94
-95, 74
-57, 99
19, 2
-45, 7
-27, 8
40, 10
34, 47
-72, 75
-11, 46
83, 78
65, 81
-70, 35
-57, 57
-27, 72
60, 32
35, 96
44, 98
-92, 86
26, 55
68, 67
-54, 39
95, 33
-86, 71
74, 47
56, 43
59, 33
9, 65
58, 18
31, 74
-74, 72
-69, 56
-47, 30
63, 84
-63, 74
-89, 68
-1, 50
-12, 0
-51, 94
-67, 22
80, 51
-31, 88
24, 63
-14, 25
-62, 92
61, 90
-77, 70
-25, 21
-23, 17
-44, 25
70, 94
-39, 55
-65, 96
-18, 33
-60, 31
-13, 15
-19, 43
-95, 28
44, 19
-92, 25
90, 75
44, 95
52, 85
-68, 48
-52, 61
83, 9
37, 67
53, 36
7, 85
-95, 33
-58, 60
97, 6
-77, 42
-9, 20
-29, 2
41, 57
12, 29
-88, 93
-38, 87
44, 11
-72, 30
47, 4
-91, 4
86, 91
-18, 69
-86, 10
33, 8
96, 26
51, 11
3, 8
-16, 45
-1, 91
-3, 5
94, 29
85, 80
-44, 26
-52, 58
19, 35
97, 20
12, 7
77, 37
80, 26
52, 48
-64, 53
-61, 56
-19, 20
-78, 14
-73, 37
-75, 73
41, 37
33, 33
-15, 34
-76, 95
61, 94
53, 78
-59, 39
19, 11
-22, 16
-26, 28
18, 49
37, 48
-31, 1
-55, 22
0, 74
0, 22
-2, 0
-21, 39
-21, 44
-16, 50
-98, 9
-11, 55
65, 5
75, 48
-98, 19
37, 70
2, 40
-94, 38
6, 87
57, 68
5, 28
-57, 14
-7, 29
-90, 72
-1, 74
-62, 59
-21, 77
-72, 45
-7, 56
2, 40
36, 67
-75, 67
73, 25
-45, 38
85, 58
20, 23
96, 74
21, 50
85, 97
41, 87
-27, 50
-15, 4
5, 6
48, 97
-69, 46
48, 56
-16, 63
-51, 0
44, 26
96, 28
17, 10
25, 96
-95, 1
-26, 3
81, 11
-5, 63
78, 72
74, 27
-66, 28
60, 21
-12, 9
77, 76
-72, 30
-9, 72
46, 94
79, 9
-80, 72
38, 10
71, 80
-44, 28
-12, 45
-34, 10
-33, 41
24, 34
94, 62
-27, 69
39, 78
84, 63
-72, 79
2, 94
18, 36
9, 36
73, 25
-69, 0
80, 39
91, 57
-51, 93
-89, 35
-27, 58
-5, 57
-81, 33
-13, 96
-80, 91
-83, 88
50, 55
-93, 95
67, 99
48, 44
41, 18
64, 11
-71, 38
-7, 16
59, 78
78, 93
30, 35
-35, 2
-90, 72
66, 58
-88, 12
-100, 80
29, 26
